1,2,0.544643
2,3,0.27271
3,4,0.0972533
4,5,0.0657419
5,6,0.364735
6,7,0.413265
7,8,0.519075
8,9,0.483105
9,10,0.241466
10,11,0.207967
11,12,0.162397
12,13,0.16767
13,14,0.222929
14,15,0.274739
15,16,0.257073
16,17,0.154253
17,18,0.437496
18,19,0.330082
19,20,0.187368
20,21,0.279393
21,22,0.687405
22,23,0.795576
23,24,0.12675
24,25,0.142034
25,26,0.0141673
26,27,0.678908
27,28,0.181453
28,29,0.183029
29,30,0.0662418
30,31,0.605917
31,32,0.380527
32,33,0.25822
33,34,0.32674
34,35,0.428582
35,36,0.185288
36,37,0.196901
37,38,0.242685
38,39,0.171176
39,40,0.141843
40,41,0.220358
41,42,0.0600212
42,43,0.172571
43,44,0.145319
44,45,0.356414
45,46,0.238627
46,47,0.441895
